geographic_area,dsrip_region
Allegany County,Western NY
Cattaraugus County,Western NY
Chautauqua County,Western NY
Erie County,Western NY
Niagara County,Western NY
Genesee County,Finger Lakes
Livingston County,Finger Lakes
Monroe County,Finger Lakes
Ontario County,Finger Lakes
Orleans County,Finger Lakes
Seneca County,Finger Lakes
Wayne County,Finger Lakes
Wyoming County,Finger Lakes
Yates County,Finger Lakes
Broome County,Southern Tier
Chemung County,Southern Tier
Chenango County,Southern Tier
Delaware County,Southern Tier
Schuyler County,Southern Tier
Steuben County,Southern Tier
Tioga County,Southern Tier
Tompkins County,Southern Tier
Cayuga County,Central NY
Cortland County,Central NY
Madison County,Central NY
Onondaga County,Central NY
Oswego County,Central NY
Jefferson County,Tug Hill Seaway
Lewis County,Tug Hill Seaway
St. Lawrence County,North Country
Clinton County,North Country
Essex County,North Country
Franklin County,North Country
Hamilton County,North Country
Fulton County,Mohawk Valley
Herkimer County,Mohawk Valley
Montgomery County,Mohawk Valley
Oneida County,Mohawk Valley
Otsego County,Mohawk Valley
Schoharie County,Mohawk Valley
Albany County,Capital Region
Columbia County,Capital Region
Greene County,Capital Region
Rensselaer County,Capital Region
Saratoga County,Capital Region
Schenectady County,Capital Region
Warren County,Capital Region
Washington County,Capital Region
Dutchess County,Mid-Hudson
Orange County,Mid-Hudson
Putnam County,Mid-Hudson
Rockland County,Mid-Hudson
Sullivan County,Mid-Hudson
Ulster County,Mid-Hudson
Westchester County,Mid-Hudson
Nassau County,Long Island
Suffolk County,Long Island
Bronx County,New York City
Kings County,New York City
New York County,New York City
Queens County,New York City
Richmond County,New York City
